Gene_UniProt,Ensembl,Gene_description,UniProt_protein,MIM_Number,Gene_HGNC,Entrez Gene ID,Main_location,Additional_location,Extracellular_location,GO_id
CFLAR,ENSG00000003402,CASP8 and FADD like apoptosis regulator,O15519,603599.0,CFLAR,8837.0,Cytosol;Nucleoplasm;Plasma membrane,Nuclear bodies,,Cytosol (GO:0005829);Nuclear bodies (GO:0016604);Nucleoplasm (GO:0005654);Plasma membrane (GO:0005886)
TFPI,ENSG00000003436,Tissue factor pathway inhibitor,P10646,152310.0,TFPI,7035.0,,,,
NDUFAF7,ENSG00000003509,NADH:ubiquinone oxidoreductase complex assembly factor 7,Q7L592,615898.0,NDUFAF7,55471.0,,,,
RBM5,ENSG00000003756,RNA binding motif protein 5,P52756,606884.0,RBM5,10181.0,Nucleoplasm,End piece;Flagellar centriole;Mid piece;Perinuclear theca;Principal piece,,End piece ();Flagellar centriole ();Mid piece ();Nucleoplasm (GO:0005654);Perinuclear theca ();Principal piece ()
MTMR7,ENSG00000003987,Myotubularin related protein 7,Q9Y216,603562.0,MTMR7,9108.0,Cytosol;Nucleoplasm,,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
SLC7A2,ENSG00000003989,Solute carrier family 7 member 2,P52569,601872.0,SLC7A2,6542.0,Plasma membrane,Cell Junctions,,Cell Junctions (GO:0030054);Plasma membrane (GO:0005886)
ARF5,ENSG00000004059,ADP ribosylation factor 5,P84085,103188.0,ARF5,381.0,,,,
SARM1,ENSG00000004139,Sterile alpha and TIR motif containing 1,Q6SZW1,607732.0,SARM1,23098.0,Mitochondria,,,Mitochondria (GO:0005739)
POLDIP2,ENSG00000004142,DNA polymerase delta interacting protein 2,Q9Y2S7,611519.0,POLDIP2,26073.0,Mitochondria,,,Mitochondria (GO:0005739)
PLXND1,ENSG00000004399,Plexin D1,Q9Y4D7,604282.0,PLXND1,23129.0,,,,
AK2,ENSG00000004455,Adenylate kinase 2,P54819,103020.0,AK2,204.0,Mitochondria,,,Mitochondria (GO:0005739)
CD38,ENSG00000004468,CD38 molecule,P28907,107270.0,CD38,952.0,Plasma membrane,,,Plasma membrane (GO:0005886)
FKBP4,ENSG00000004478,FKBP prolyl isomerase 4,Q02790,600611.0,FKBP4,2288.0,Cytosol,Nucleoplasm,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
KDM1A,ENSG00000004487,Lysine demethylase 1A,O60341,609132.0,KDM1A,23028.0,Nucleoplasm,Cytosol,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
RBM6,ENSG00000004534,RNA binding motif protein 6,P78332,606886.0,RBM6,10180.0,Nuclear speckles,Cytoplasmic bodies,,Cytoplasmic bodies (GO:0036464);Nuclear speckles (GO:0016607)
CAMKK1,ENSG00000004660,Calcium/calmodulin dependent protein kinase kinase 1,Q8N5S9,611411.0,CAMKK1,84254.0,Cytosol,,,Cytosol (GO:0005829)
RECQL,ENSG00000004700,RecQ like helicase,P46063,600537.0,RECQL,5965.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
VPS50,ENSG00000004766,VPS50 subunit of EARP/GARPII complex,Q96JG6,616465.0,VPS50,55610.0,Cytosol;Plasma membrane,Basal body;End piece;Mid piece;Primary cilium;Principal piece,,Basal body (GO:0036064);Cytosol (GO:0005829);End piece ();Mid piece ();Plasma membrane (GO:0005886);Primary cilium (GO:0005929);Principal piece ()
HSPB6,ENSG00000004776,Heat shock protein family B (small) member 6,O14558,610695.0,HSPB6,126393.0,Cytosol;Mitochondria,Nuclear speckles,,Cytosol (GO:0005829);Mitochondria (GO:0005739);Nuclear speckles (GO:0016607)
ARHGAP33,ENSG00000004777,Rho GTPase activating protein 33,O14559,614902.0,ARHGAP33,115703.0,Plasma membrane,Actin filaments;Cytosol,,Actin filaments (GO:0015629);Cytosol (GO:0005829);Plasma membrane (GO:0005886)
NDUFAB1,ENSG00000004779,NADH:ubiquinone oxidoreductase subunit AB1,O14561,603836.0,NDUFAB1,4706.0,Mitochondria,,,Mitochondria (GO:0005739)
PDK4,ENSG00000004799,Pyruvate dehydrogenase kinase 4,Q16654,602527.0,PDK4,5166.0,,,,
SLC22A16,ENSG00000004809,Solute carrier family 22 member 16,Q86VW1,608276.0,SLC22A16,85413.0,Cytosol;Plasma membrane,,,Cytosol (GO:0005829);Plasma membrane (GO:0005886)
ZMYND10,ENSG00000004838,Zinc finger MYND-type containing 10,O75800,607070.0,ZMYND10,51364.0,Basal body;Plasma membrane,Cytosol,,Basal body (GO:0036064);Cytosol (GO:0005829);Plasma membrane (GO:0005886)
ABCB5,ENSG00000004846,ATP binding cassette subfamily B member 5,Q2M3G0,611785.0,ABCB5,340273.0,,,,
ARX,ENSG00000004848,Aristaless related homeobox,Q96QS3,300382.0,ARX,170302.0,,,,
SLC25A13,ENSG00000004864,Solute carrier family 25 member 13,Q9UJS0,603859.0,SLC25A13,10165.0,Mitochondria,,,Mitochondria (GO:0005739)
ST7,ENSG00000004866,Suppression of tumorigenicity 7,Q9NRC1,600833.0,ST7,7982.0,Nucleoplasm,Cytosol,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
CDC27,ENSG00000004897,Cell division cycle 27,P30260,116946.0,CDC27,996.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
SLC4A1,ENSG00000004939,Solute carrier family 4 member 1 (Diego blood group),P02730,109270.0,SLC4A1,6521.0,,,,
HCCS,ENSG00000004961,Holocytochrome c synthase,P53701,300056.0,HCCS,3052.0,Mitochondria,,,Mitochondria (GO:0005739)
DVL2,ENSG00000004975,Dishevelled segment polarity protein 2,O14641,602151.0,DVL2,1856.0,Nuclear bodies;Nucleoplasm,Aggresome,,Aggresome (GO:0016235);Nuclear bodies (GO:0016604);Nucleoplasm (GO:0005654)
PRSS22,ENSG00000005001,Serine protease 22,Q9GZN4,609343.0,PRSS22,64063.0,,,,
UPF1,ENSG00000005007,UPF1 RNA helicase and ATPase,Q92900,601430.0,UPF1,5976.0,Nucleoplasm,Cytosol,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
SKAP2,ENSG00000005020,Src kinase associated phosphoprotein 2,O75563,605215.0,SKAP2,8935.0,Nucleoplasm,Cytosol,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
SLC25A5,ENSG00000005022,Solute carrier family 25 member 5,P05141,300150.0,SLC25A5,292.0,Mitochondria,,,Mitochondria (GO:0005739)
MCUB,ENSG00000005059,Mitochondrial calcium uniporter dominant negative subunit beta,Q9NWR8,620702.0,MCUB,55013.0,Mitochondria,Cytosol,,Cytosol (GO:0005829);Mitochondria (GO:0005739)
HOXA11,ENSG00000005073,Homeobox A11,P31270,142958.0,HOXA11,3207.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
POLR2J,ENSG00000005075,RNA polymerase II subunit J,P52435,604150.0,POLR2J,5439.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
DHX33,ENSG00000005100,DEAH-box helicase 33,Q9H6R0,614405.0,DHX33,56919.0,Nucleoli,,,Nucleoli (GO:0005730)
MEOX1,ENSG00000005102,Mesenchyme homeobox 1,P50221,600147.0,MEOX1,4222.0,Nucleoplasm,Cytokinetic bridge;Cytosol,,Cytokinetic bridge (GO:0045171);Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
THSD7A,ENSG00000005108,Thrombospondin type 1 domain containing 7A,Q9UPZ6,612249.0,THSD7A,221981.0,,,,
LIG3,ENSG00000005156,DNA ligase 3,P49916,600940.0,LIG3,3980.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
RPAP3,ENSG00000005175,RNA polymerase II associated protein 3,Q9H6T3,611477.0,RPAP3,79657.0,Cytosol,Acrosome;Basal body;Primary cilium;Primary cilium tip,,Acrosome ();Basal body (GO:0036064);Cytosol (GO:0005829);Primary cilium (GO:0005929);Primary cilium tip ()
ACSM3,ENSG00000005187,Acyl-CoA synthetase medium chain family member 3,Q53FZ2,145505.0,ACSM3,6296.0,,,,
REXO5,ENSG00000005189,RNA exonuclease 5,Q96IC2,,REXO5,81691.0,Nuclear membrane,Endoplasmic reticulum;Nucleoli,,Endoplasmic reticulum (GO:0005783);Nuclear membrane (GO:0031965);Nucleoli (GO:0005730)
CIAPIN1,ENSG00000005194,Cytokine induced apoptosis inhibitor 1,Q6FI81,608943.0,CIAPIN1,57019.0,Mitochondria,Nucleoplasm,,Mitochondria (GO:0005739);Nucleoplasm (GO:0005654)
SPPL2B,ENSG00000005206,Signal peptide peptidase like 2B,Q8TCT7,608239.0,SPPL2B,56928.0,Nucleoplasm;Plasma membrane,Centrosome,,Centrosome (GO:0005813);Nucleoplasm (GO:0005654);Plasma membrane (GO:0005886)
ATOSB,ENSG00000005238,Atos homolog B,Q7L5A3,620169.0,ATOSB,80256.0,Nucleoli fibrillar center;Nucleoplasm,,,Nucleoli fibrillar center (GO:0001650);Nucleoplasm (GO:0005654)
COPZ2,ENSG00000005243,COPI coat complex subunit zeta 2,Q9P299,615526.0,COPZ2,51226.0,,,,
PRKAR2B,ENSG00000005249,Protein kinase cAMP-dependent type II regulatory subunit beta,P31323,176912.0,PRKAR2B,5577.0,Basal body;Centrosome;Cytosol;Golgi apparatus,,,Basal body (GO:0036064);Centrosome (GO:0005813);Cytosol (GO:0005829);Golgi apparatus (GO:0005794)
MSL3,ENSG00000005302,MSL complex subunit 3,Q8N5Y2,300609.0,MSL3,10943.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
CREBBP,ENSG00000005339,CREB binding protein,Q92793,600140.0,CREBBP,1387.0,Nucleoplasm,Nuclear bodies,,Nuclear bodies (GO:0016604);Nucleoplasm (GO:0005654)
TSPOAP1,ENSG00000005379,TSPO associated protein 1,O95153,610764.0,TSPOAP1,9256.0,,,,
MPO,ENSG00000005381,Myeloperoxidase,P05164,606989.0,MPO,4353.0,Vesicles,Nucleoplasm,,Nucleoplasm (GO:0005654);Vesicles (GO:0043231)
PON1,ENSG00000005421,Paraoxonase 1,P27169,168820.0,PON1,5444.0,,,,
GCFC2,ENSG00000005436,GC-rich sequence DNA-binding factor 2,P16383,189901.0,GCFC2,6936.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
WDR54,ENSG00000005448,WD repeat domain 54,Q9H977,620826.0,WDR54,84058.0,Acrosome;Vesicles,Centriolar satellite;Flagellar centriole;Golgi apparatus;Mid piece;Primary cilium tip;Principal piece,,Acrosome ();Centriolar satellite (GO:0034451);Flagellar centriole ();Golgi apparatus (GO:0005794);Mid piece ();Primary cilium tip ();Principal piece ();Vesicles (GO:0043231)
CROT,ENSG00000005469,Carnitine O-octanoyltransferase,Q9UKG9,606090.0,CROT,54677.0,Vesicles,,,Vesicles (GO:0043231)
ABCB4,ENSG00000005471,ATP binding cassette subfamily B member 4,P21439,171060.0,ABCB4,5244.0,Nucleoplasm;Plasma membrane,Cytosol;Focal adhesion sites,,Cytosol (GO:0005829);Focal adhesion sites (GO:0005925);Nucleoplasm (GO:0005654);Plasma membrane (GO:0005886)
KMT2E,ENSG00000005483,Lysine methyltransferase 2E (inactive),Q8IZD2,608444.0,KMT2E,55904.0,Nucleoplasm,Nuclear bodies,,Nuclear bodies (GO:0016604);Nucleoplasm (GO:0005654)
RHBDD2,ENSG00000005486,Rhomboid domain containing 2,Q6NTF9,615203.0,RHBDD2,57414.0,Golgi apparatus,,,Golgi apparatus (GO:0005794)
SOX8,ENSG00000005513,SRY-box transcription factor 8,P57073,605923.0,SOX8,30812.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
IBTK,ENSG00000005700,Inhibitor of Bruton tyrosine kinase,Q9P2D0,606457.0,IBTK,25998.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
ZNF195,ENSG00000005801,Zinc finger protein 195,O14628,602187.0,ZNF195,7748.0,Nucleoplasm,Cytosol,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
MYCBP2,ENSG00000005810,MYC binding protein 2,O75592,610392.0,MYCBP2,23077.0,Nucleoplasm,Cytosol;Vesicles,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654);Vesicles (GO:0043231)
FBXL3,ENSG00000005812,F-box and leucine rich repeat protein 3,Q9UKT7,605653.0,FBXL3,26224.0,Nuclear bodies,,,Nuclear bodies (GO:0016604)
ITGAL,ENSG00000005844,Integrin subunit alpha L,P20701,153370.0,ITGAL,3683.0,,,,
PDK2,ENSG00000005882,Pyruvate dehydrogenase kinase 2,Q15119,602525.0,PDK2,5164.0,Mitochondria;Nucleoplasm,,,Mitochondria (GO:0005739);Nucleoplasm (GO:0005654)
ITGA3,ENSG00000005884,Integrin subunit alpha 3,P26006,605025.0,ITGA3,3675.0,Plasma membrane,,,Plasma membrane (GO:0005886)
ZFX,ENSG00000005889,Zinc finger protein X-linked,P17010,314980.0,ZFX,7543.0,Nucleoplasm,Nucleoli,,Nucleoli (GO:0005730);Nucleoplasm (GO:0005654)
LAMP2,ENSG00000005893,Lysosomal associated membrane protein 2,P13473,309060.0,LAMP2,3920.0,Vesicles,,,Vesicles (GO:0043231)
ITGA2B,ENSG00000005961,Integrin subunit alpha 2b,P08514,607759.0,ITGA2B,3674.0,Plasma membrane,,,Plasma membrane (GO:0005886)
ASB4,ENSG00000005981,Ankyrin repeat and SOCS box containing 4,Q9Y574,605761.0,ASB4,51666.0,,,,
GDE1,ENSG00000006007,Glycerophosphodiester phosphodiesterase 1,Q9NZC3,605943.0,GDE1,51573.0,Vesicles,Nucleoplasm;Plasma membrane,,Nucleoplasm (GO:0005654);Plasma membrane (GO:0005886);Vesicles (GO:0043231)
REX1BD,ENSG00000006015,Required for excision 1-B domain containing,Q96EN9,,REX1BD,55049.0,Vesicles,,,Vesicles (GO:0043231)
CRLF1,ENSG00000006016,Cytokine receptor like factor 1,O75462,604237.0,CRLF1,9244.0,,,,
OSBPL7,ENSG00000006025,Oxysterol binding protein like 7,Q9BZF2,606735.0,OSBPL7,114881.0,Cytosol;Nucleoplasm,Plasma membrane,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654);Plasma membrane (GO:0005886)
TMEM98,ENSG00000006042,Transmembrane protein 98,Q9Y2Y6,615949.0,TMEM98,26022.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
YBX2,ENSG00000006047,Y-box binding protein 2,Q9Y2T7,611447.0,YBX2,51087.0,,,,
KRT33A,ENSG00000006059,Keratin 33A,O76009,602761.0,KRT33A,3883.0,Cytosol;End piece;Principal piece,Equatorial segment;Mid piece,,Cytosol (GO:0005829);End piece ();Equatorial segment ();Mid piece ();Principal piece ()
MAP3K14,ENSG00000006062,Mitogen-activated protein kinase kinase kinase 14,Q99558,604655.0,MAP3K14,9020.0,Cytosol;Vesicles,Nucleoli fibrillar center;Nucleoplasm,,Cytosol (GO:0005829);Nucleoli fibrillar center (GO:0001650);Nucleoplasm (GO:0005654);Vesicles (GO:0043231)
ABCC8,ENSG00000006071,ATP binding cassette subfamily C member 8,Q09428,600509.0,ABCC8,6833.0,Golgi apparatus;Nucleoli,Cytosol;Principal piece,,Cytosol (GO:0005829);Golgi apparatus (GO:0005794);Nucleoli (GO:0005730);Principal piece ()
CACNG3,ENSG00000006116,Calcium voltage-gated channel auxiliary subunit gamma 3,O60359,606403.0,CACNG3,10368.0,,,,
TMEM132A,ENSG00000006118,Transmembrane protein 132A,Q24JP5,617363.0,TMEM132A,54972.0,Mitochondria,,,Mitochondria (GO:0005739)
AP2B1,ENSG00000006125,Adaptor related protein complex 2 subunit beta 1,P63010,601025.0,AP2B1,163.0,Vesicles,,,Vesicles (GO:0043231)
TAC1,ENSG00000006128,Tachykinin precursor 1,P20366,162320.0,TAC1,6863.0,,,,
ZNF263,ENSG00000006194,Zinc finger protein 263,O14978,604191.0,ZNF263,10127.0,Cytosol,Mitotic spindle;Nucleoplasm,,Cytosol (GO:0005829);Mitotic spindle (GO:0072686);Nucleoplasm (GO:0005654)
CX3CL1,ENSG00000006210,C-X3-C motif chemokine ligand 1,P78423,601880.0,CX3CL1,6376.0,Plasma membrane,,Predicted to be secreted,Plasma membrane (GO:0005886)
SPATA20,ENSG00000006282,Spermatogenesis associated 20,Q8TB22,613939.0,SPATA20,64847.0,Principal piece,,Predicted to be secreted,Principal piece ()
CACNA1G,ENSG00000006283,Calcium voltage-gated channel subunit alpha1 G,O43497,604065.0,CACNA1G,8913.0,Acrosome;Equatorial segment;Nucleoplasm;Perinuclear theca,Cytosol;Nuclear bodies,,Acrosome ();Cytosol (GO:0005829);Equatorial segment ();Nuclear bodies (GO:0016604);Nucleoplasm (GO:0005654);Perinuclear theca ()
TNFRSF12A,ENSG00000006327,TNF receptor superfamily member 12A,Q9NP84,605914.0,TNFRSF12A,51330.0,Cytosol;Plasma membrane,,,Cytosol (GO:0005829);Plasma membrane (GO:0005886)
DLX6,ENSG00000006377,Distal-less homeobox 6,P56179,600030.0,DLX6,1750.0,Nuclear bodies,,,Nuclear bodies (GO:0016604)
MAP3K9,ENSG00000006432,Mitogen-activated protein kinase kinase kinase 9,P80192,600136.0,MAP3K9,4293.0,Nucleoli;Nucleoplasm,,,Nucleoli (GO:0005730);Nucleoplasm (GO:0005654)
RALA,ENSG00000006451,RAS like proto-oncogene A,P11233,179550.0,RALA,5898.0,Plasma membrane,Focal adhesion sites,,Focal adhesion sites (GO:0005925);Plasma membrane (GO:0005886)
BAIAP2L1,ENSG00000006453,BAR/IMD domain containing adaptor protein 2 like 1,Q9UHR4,611877.0,BAIAP2L1,55971.0,Plasma membrane,Cytosol,,Cytosol (GO:0005829);Plasma membrane (GO:0005886)
KDM7A,ENSG00000006459,Lysine demethylase 7A,Q6ZMT4,619640.0,KDM7A,80853.0,Nucleoplasm,Nucleoli,,Nucleoli (GO:0005730);Nucleoplasm (GO:0005654)
ETV1,ENSG00000006468,ETS variant transcription factor 1,P50549,600541.0,ETV1,2115.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
AGK,ENSG00000006530,Acylglycerol kinase,Q53H12,610345.0,AGK,55750.0,Mitochondria,Vesicles,,Mitochondria (GO:0005739);Vesicles (GO:0043231)
ALDH3B1,ENSG00000006534,Aldehyde dehydrogenase 3 family member B1,P43353,600466.0,ALDH3B1,221.0,,,,
TTC22,ENSG00000006555,Tetratricopeptide repeat domain 22,Q5TAA0,,TTC22,55001.0,,,,
PHTF2,ENSG00000006576,Putative homeodomain transcription factor 2,Q8N3S3,616785.0,PHTF2,57157.0,Nucleoplasm,Cytosol,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
CCL26,ENSG00000006606,C-C motif chemokine ligand 26,Q9Y258,604697.0,CCL26,10344.0,,,,
FARP2,ENSG00000006607,"FERM, ARH/RhoGEF and pleckstrin domain protein 2",O94887,617586.0,FARP2,9855.0,Cytosol,,,Cytosol (GO:0005829)
USH1C,ENSG00000006611,USH1 protein network component harmonin,Q9Y6N9,605242.0,USH1C,10083.0,Cytosol,,,Cytosol (GO:0005829)
GGCT,ENSG00000006625,Gamma-glutamylcyclotransferase,O75223,137170.0,GGCT,79017.0,,,,
DBF4,ENSG00000006634,DBF4 zinc finger,Q9UBU7,604281.0,DBF4,10926.0,Nuclear bodies;Nucleoplasm,,,Nuclear bodies (GO:0016604);Nucleoplasm (GO:0005654)
TBXA2R,ENSG00000006638,Thromboxane A2 receptor,P21731,188070.0,TBXA2R,6915.0,Plasma membrane,Nuclear speckles,,Nuclear speckles (GO:0016607);Plasma membrane (GO:0005886)
IFRD1,ENSG00000006652,Interferon related developmental regulator 1,O00458,603502.0,IFRD1,3475.0,Plasma membrane,Cytosol;Endoplasmic reticulum,,Cytosol (GO:0005829);Endoplasmic reticulum (GO:0005783);Plasma membrane (GO:0005886)
LGALS14,ENSG00000006659,Galectin 14,Q8TCE9,607260.0,LGALS14,56891.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
COX10,ENSG00000006695,Cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10,Q12887,602125.0,COX10,1352.0,Mitochondria,Cytosol;Nucleoli,,Cytosol (GO:0005829);Mitochondria (GO:0005739);Nucleoli (GO:0005730)
GTF2IRD1,ENSG00000006704,GTF2I repeat domain containing 1,Q9UHL9,604318.0,GTF2IRD1,9569.0,Nucleoplasm,Cytosol,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
PAF1,ENSG00000006712,"PAF1 homolog, Paf1/RNA polymerase II complex component",Q8N7H5,610506.0,PAF1,54623.0,Nucleoplasm,Nucleoli fibrillar center;Vesicles,,Nucleoli fibrillar center (GO:0001650);Nucleoplasm (GO:0005654);Vesicles (GO:0043231)
VPS41,ENSG00000006715,VPS41 subunit of HOPS complex,P49754,605485.0,VPS41,27072.0,,,,
ARHGAP44,ENSG00000006740,Rho GTPase activating protein 44,Q17R89,617716.0,ARHGAP44,9912.0,,,,
